Altium Designer Pick and Place Locations
C:\GitHub\u-blox\evk_designs_sho_altium\EVK-IRIS-W10\Project Outputs for EVK-IRIS-W1-Mikro-Bus\Fabrication\Pick Place\UBXH60-0001012_Rev B.csv

========================================================================================================================
File Design Information:

Date:       22-01-25
Time:       15:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J42","61300211121","TopLayer","CONN_61300211121_WRE","75.3141","4.3782","90","No Description Available"
"R222","UBXH18-00030020R","TopLayer","RES_0402_HD","23.7816","115.9608","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"SW3","137-00012","TopLayer","SOP1.27P6.2x6.2-8Pin","16.2332","72.5057","180","Dip Switch SPST 4 Position Surface Mount Slide (Standard) Actuator 25mA 24VDC"
"R218","UBXH18-00030020R","TopLayer","RES_0402_HD","11.5570","67.0814","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"R216","UBXH18-00030020R","TopLayer","RES_0402_HD","12.5984","67.1068","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"R215","UBXH18-00030020R","TopLayer","RES_0402_HD","16.7000","74.4110","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R214","UBXH18-00030020R","TopLayer","RES_0402_HD","16.7000","73.1410","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R213","UBXH18-00030020R","TopLayer","RES_0402_HD","16.7000","70.6010","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R212","UBXH18-00030020R","TopLayer","RES_0402_HD","16.7000","71.8700","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"J45","TC2050-IDC-NLDNP","BottomLayer","TC2050-IDC-NL","58.0390","66.3194","180","CON PADS FOR CBL PLUG-OF-NAILS 10-PIN NO LEGS"
"D23","110-00019","TopLayer","SOD-923","11.5824","10.9474","90","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"U9","","BottomLayer","DFN10","80.4408","66.2697","180","4.5V, 7.2V Clamp 4A (8/20µs) Ipp Tvs Diode Surface Mount 10-DFN (4.1x2)"
"C69","UBXH01-000004122U","TopLayer","cap_0603","39.6298","53.1876","90","CAP CER X5R 0603 22U 20% 4V"
"R209","180-0002410k","TopLayer","RES_0402_HD","14.2986","19.5072","270","Resistor 10k ohm 1% 1/16W, 0402"
"TP33","TP","BottomLayer","TP10R","28.2274","83.6090","90","Testpoint, Round 1.0mm Dia"
"TP23","TP","TopLayer","TP10R","26.1096","54.3560","90","Testpoint, Round 1.0mm Dia"
"TP112","TP","BottomLayer","TP10R","29.6434","4.5000","90","Testpoint, Round 1.0mm Dia"
"TP111","TP","BottomLayer","TP10R","27.8134","4.5000","90","Testpoint, Round 1.0mm Dia"
"TP142","TP","BottomLayer","TP10R","16.5984","4.5000","90","Testpoint, Round 1.0mm Dia"
"TP141","TP","BottomLayer","TP10R","14.7684","4.5000","90","Testpoint, Round 1.0mm Dia"
"TP22","TP","BottomLayer","TP10R","12.9384","4.5000","90","Testpoint, Round 1.0mm Dia"
"TP1","TP","BottomLayer","TP10R","18.4284","4.5000","180","Testpoint, Round 1.0mm Dia"
"TP32","TP","BottomLayer","TP10R","67.7734","4.5000","90","Testpoint, Round 1.0mm Dia"
"TP31","TP","BottomLayer","TP10R","65.9434","4.5000","90","Testpoint, Round 1.0mm Dia"
"TP24","TP","BottomLayer","TP10R","40.1558","68.5800","90","Testpoint, Round 1.0mm Dia"
"TP16","TP","BottomLayer","TP10R","30.0574","83.6090","90","Testpoint, Round 1.0mm Dia"
"TP4","TP","BottomLayer","TP10R","69.6034","4.5000","90","Testpoint, Round 1.0mm Dia"
"TP2","TP","BottomLayer","TP10R","64.1134","4.5000","90","Testpoint, Round 1.0mm Dia"
"J98","130-00150","TopLayer","CON_USB-C-RA_W-6Tabs","28.8456","5.2372","0","Connector, USB-C Receptacle, 24 Position, Surface Mount, Right Angle, Horizontal, 20V"
"F2","UBXH08-0000038","TopLayer","IND_0603","32.9422","12.1158","90","FERRITE BEAD MURATA BLM18PG 0603 120R@100MHZ 2A"
"C103","UBXH01-000015022U","TopLayer","Cap_0603","46.1807","106.5276","0","CAP CER X5R 0603 22U 20% 10V"
"C102","UBXH01-000015022U","TopLayer","Cap_0603","46.1807","104.8503","0","CAP CER X5R 0603 22U 20% 10V"
"TP29","TP","TopLayer","TP10R","65.6828","60.9346","90","Testpoint, Round 1.0mm Dia"
"D15","110-00019","TopLayer","SOD-923","88.4911","49.5984","180","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"R69","UBXH18-0008041470R","TopLayer","RES_0402_HD","14.0192","29.5454","270","RES THICK FILM CHIP 0402 470R 5% 100mW"
"J38","IRIS-W1x6","TopLayer","IRIS-W1x6_LGA152","47.1312","119.0622","90","SHORT RANGE STAND-ALONE MULTIRADIO MODULE U-BLOX IRIS-W106"
"D20","UBXH11-0000018","TopLayer","LED-0603","14.0446","26.6446","270","LED CHIP 0603 LOW CURRENT OSRAM 0.002A GREEN 2.2V 2mA"
"R296","UBXH18-00030020R","TopLayer","RES_0402_HD","56.8436","77.6556","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R294","UBXH18-00030020R","TopLayer","RES_0402_HD","56.8436","76.6435","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R293","UBXH18-00030020R","TopLayer","RES_0402_HD","61.6616","70.3263","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"R292","UBXH18-00030020R","TopLayer","RES_0402_HD","55.7768","67.0306","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"R291","UBXH18-00030020R","TopLayer","RES_0402_HD","61.6616","71.5899","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"R290","UBXH18-00030020R","TopLayer","RES_0402_HD","60.0000","67.0306","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"U21","LM4040C30FTA","TopLayer","SOT-23","49.1728","46.6344","0","Shunt Voltage Reference IC Fixed 3V V ±0.5% 15 mA SOT-23-3"
"X3","CX3225GA16000D0PTVCC","TopLayer","XTAL2_CX3225GA_AVX","60.1504","37.5412","0","No Description Available"
"R108","UBXH18-00000105K1","TopLayer","RES_0603_HD","5.9536","40.1828","0","RES THICK FILM CHIP 0603 100PPM TEMP 5K1 1% 75V 100mW"
"C114","120-000770.1uF","BottomLayer","Cap_0402_HD","84.4342","61.0000","180","Cap, Ceramic 0.1uF 16V 10% X7R 0402."
"C113","120-000770.1uF","BottomLayer","Cap_0402_HD","84.4342","62.5348","180","Cap, Ceramic 0.1uF 16V 10% X7R 0402."
"C112","120-000770.1uF","BottomLayer","Cap_0402_HD","84.4342","64.5668","180","Cap, Ceramic 0.1uF 16V 10% X7R 0402."
"C101","120-000770.1uF","BottomLayer","Cap_0402_HD","84.4342","66.6000","180","Cap, Ceramic 0.1uF 16V 10% X7R 0402."
"C100","120-000770.1uF","BottomLayer","Cap_0402_HD","84.4342","67.9110","180","Cap, Ceramic 0.1uF 16V 10% X7R 0402."
"C99","120-000770.1uF","BottomLayer","Cap_0402_HD","84.4342","69.1642","180","Cap, Ceramic 0.1uF 16V 10% X7R 0402."
"D14","110-00018","TopLayer","SOT-553","20.4962","14.5542","90","TVS Diode, ESD High Speed 3-Channel Array, SOT-553"
"D11","110-00018","TopLayer","SOT-553","15.8226","11.3792","270","TVS Diode, ESD High Speed 3-Channel Array, SOT-553"
"D18","110-00018","TopLayer","SOT-553","67.1306","10.4902","270","TVS Diode, ESD High Speed 3-Channel Array, SOT-553"
"L3","UBXH09-00001762U2","TopLayer","Ind_4mmx4mm","73.6191","22.3434","90","SHIELDED POWER INDUCTOR XFL4020 2U2 20% 3.1A"
"U11","UBXH12-0000160","TopLayer","QFN0.5P3x3-16Pin_W-Pad","78.0132","20.7910","0","STEP DOWN DC-DC CONVERTER 3-17V 3A TPS62132 3V3"
"R289","UBXH18-0008041470R","TopLayer","RES_0402_HD","82.4702","50.9946","90","RES THICK FILM CHIP 0402 470R 5% 100mW"
"D19","UBXH11-0000018","TopLayer","LED-0603","81.2895","52.1376","90","LED CHIP 0603 LOW CURRENT OSRAM 0.002A GREEN 2.2V 2mA"
"R288","UBXH18-00000200R","TopLayer","RES_1206","85.8739","51.5141","180","RES THICK FILM CHIP 1206 0R 0 2A"
"U20","NCP692MN33T2G","TopLayer","DFN-PSON.1P3X3-7pin_HS-7N","89.2095","54.5663","270","LOW DROPOUT REGULATOR ON SEMICONDUCTOR NCP692MN33T2G 6DFN 3.3V 6V 1A"
"R287","UBXH18-000006510K","TopLayer","RES_0402_HD","84.7050","54.9433","0","RES THICK FILM CHIP 0402 10K 1% 63mW"
"R274","UBXH18-000006510K","TopLayer","RES_0402_HD","84.7050","55.9476","0","RES THICK FILM CHIP 0402 10K 1% 63mW"
"R208","UBXH18-00030020R","TopLayer","RES_0402_HD","87.6772","57.2821","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"R151","UBXH18-00030020R","TopLayer","RES_0402_HD","89.4545","57.2938","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"R145","UBXH18-00001388K2","TopLayer","RES_0402_HD","86.4822","54.9801","0","RES THICK FILM CHIP 0402 8K2 1% 63mW"
"R144","UBXH18-00030020R","TopLayer","RES_0402_HD","86.4822","55.9844","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"C98","UBXH01-000031010U","TopLayer","Cap_0603_HD","88.9511","51.3756","270","CAP CER X7R 0603 10U 20% 10V"
"C97","UBXH01-000031010U","TopLayer","Cap_0603_HD","90.9284","52.0641","180","CAP CER X7R 0603 10U 20% 10V"
"R143","UBXH18-00030020R","BottomLayer","RES_0402_HD","58.2640","105.9856","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"R142","UBXH18-00030020R","BottomLayer","RES_0402_HD","56.9178","105.9602","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"R136","UBXH18-00030020R","BottomLayer","RES_0402_HD","61.9630","99.0989","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"R134","UBXH18-00030020R","BottomLayer","RES_0402_HD","60.7522","99.2703","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"F6","UBXH08-0000000","TopLayer","IND_0402","33.2958","41.3172","90","FERRITE BEAD 0402 120 OHM AT 100MHZ 120OHM 500mA"
"C16","UBXH01-00000074U7","TopLayer","Cap_0805","81.8606","13.7870","270","CAP CER X5R 0805 4U7 10% 25V"
"C111","UBXH01-00230193N3","TopLayer","CAP_0402","73.8108","16.7132","180","CAP CER X7R 0402 3N3 10% 16V"
"L2","UBXH09-00000252U2","TopLayer","IND_0806","81.8352","17.3142","90","IND MURATA LQM2MP 0806 2U2 30% 1.2A"
"C62","UBXH01-0000233100N","TopLayer","CAP_0402","46.3797","40.0994","180","CAP CER X7R 0402 100N 10% 16V"
"C52","UBXH01-0000233100N","TopLayer","CAP_0402","44.3324","40.0994","180","CAP CER X7R 0402 100N 10% 16V"
"C18","UBXH01-00002111N5","TopLayer","CAP_0402","81.6574","19.9183","0","CAP CER X7R 0402 1N5 10% 50V"
"R102","UBXH18-000801333R","TopLayer","RES_0402_HD","75.9797","62.0317","0","RES THICK FILM CHIP 0402 33R 5% 50V 63mW"
"R101","UBXH18-000801333R","TopLayer","RES_0402_HD","75.9797","63.7538","0","RES THICK FILM CHIP 0402 33R 5% 50V 63mW"
"R100","UBXH18-000801333R","TopLayer","RES_0402_HD","75.9797","65.4759","0","RES THICK FILM CHIP 0402 33R 5% 50V 63mW"
"R98","UBXH18-000801333R","TopLayer","RES_0402_HD","75.9797","67.1980","0","RES THICK FILM CHIP 0402 33R 5% 50V 63mW"
"R97","UBXH18-000801333R","TopLayer","RES_0402_HD","75.9797","68.9201","0","RES THICK FILM CHIP 0402 33R 5% 50V 63mW"
"R83","UBXH18-000801333R","TopLayer","RES_0402_HD","75.9797","70.6423","0","RES THICK FILM CHIP 0402 33R 5% 50V 63mW"
"J33","TC2050-IDC-NLDNP","BottomLayer","TC2050-IDC-NL","49.5284","57.4294","270","CON PADS FOR CBL PLUG-OF-NAILS 10-PIN NO LEGS"
"R270","UBXH18-00030010R","BottomLayer","RES_0603_HD","29.8434","55.8038","90","RES THICK FILM CHIP 0603 0R 0 100mW"
"J67","130-00105","TopLayer","HDR-0.1P-3Pin-1Row-SMT","28.7238","99.4042","180","Header, 0.100" Pitch, 3 Pin, Vertical SMT, Black"
"SW8","137-00012","TopLayer","SOP1.27P6.2x6.2-8Pin","86.2548","100.3976","270","Dip Switch SPST 4 Position Surface Mount Slide (Standard) Actuator 25mA 24VDC"
"C40","120-000160.1uF","TopLayer","Cap_0402_HD","60.8129","32.5882","270","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"C39","120-000160.1uF","TopLayer","Cap_0402_HD","38.5302","35.6621","90","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"R267","UBXH18-00030020R","TopLayer","RES_0402_HD","39.4446","106.1700","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"C65","UBXH01-000802247P","TopLayer","Cap_0402_1100Lx600Wx600H_600x600Pad_350G_FLX","53.3263","50.2666","90","CAP CER C0G 0402 47P 10% 25V"
"U19","NX3DV42GU10X","TopLayer","XQFN10_SOT1337-1_NXP","56.5946","103.9844","0","No Description Available"
"U18","NX3DV42GU10X","TopLayer","XQFN10_SOT1337-1_NXP","33.8119","115.1550","0","No Description Available"
"U17","NX3DV42GU10X","TopLayer","XQFN10_SOT1337-1_NXP","66.4428","104.2584","0","No Description Available"
"U16","NX3DV42GU10X","TopLayer","XQFN10_SOT1337-1_NXP","61.3109","98.9846","270","No Description Available"
"U13","LPC55S69JBD100K","TopLayer","QFP50P1600X1600X160-101N","65.0406","48.4774","0","NXP - LPC55S69JBD100K - MCU, 32BIT, 100MHZ, HLQFP"
"U8","74LVC1G07GV_SOT753","TopLayer","sot-753","57.6726","32.4190","0","No Description Available"
"U5","74LVC1G07GV_SOT753","TopLayer","sot-753","36.8806","32.4190","0","No Description Available"
"TP30","TP","TopLayer","TP10R","48.2584","51.5112","90","Testpoint, Round 1.0mm Dia"
"TP28","TP","TopLayer","TP10R","52.8304","39.9288","90","Testpoint, Round 1.0mm Dia"
"TP27","TP","TopLayer","TP10R","73.1504","58.8010","90","Testpoint, Round 1.0mm Dia"
"TP26","TP","TopLayer","TP10R","54.4360","62.7802","90","Testpoint, Round 1.0mm Dia"
"TP25","TP","TopLayer","TP10R","80.1354","48.2854","90","Testpoint, Round 1.0mm Dia"
"TP15","TP","BottomLayer","TP10R","32.1548","104.3432","90","Testpoint, Round 1.0mm Dia"
"R286","UBXH18-00030010R","BottomLayer","RES_0603_HD","36.7776","55.8086","90","RES THICK FILM CHIP 0603 0R 0 100mW"
"R285","UBXH18-00030020R","TopLayer","RES_0402_HD","36.5050","56.3135","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R284","UBXH18-00030010R","BottomLayer","RES_0603_HD","38.1549","55.8086","90","RES THICK FILM CHIP 0603 0R 0 100mW"
"R283","UBXH18-00030010R","BottomLayer","RES_0603_HD","33.9893","55.8086","90","RES THICK FILM CHIP 0603 0R 0 100mW"
"R282","UBXH18-00030010R","BottomLayer","RES_0603_HD","44.2706","55.8086","90","RES THICK FILM CHIP 0603 0R 0 100mW"
"R281","UBXH18-00030020R","TopLayer","RES_0402_HD","37.7746","56.3135","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R280","UBXH18-00030020R","TopLayer","RES_0402_HD","33.9657","56.3135","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R279","UBXH18-00030020R","TopLayer","RES_0402_HD","44.1228","56.3135","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R278","UBXH18-00030010R","BottomLayer","RES_0603_HD","31.2348","55.8086","90","RES THICK FILM CHIP 0603 0R 0 100mW"
"R277","UBXH18-00030010R","BottomLayer","RES_0603_HD","32.6120","55.8086","90","RES THICK FILM CHIP 0603 0R 0 100mW"
"R276","UBXH18-00030020R","TopLayer","RES_0402_HD","31.4264","56.3135","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R275","UBXH18-00030020R","TopLayer","RES_0402_HD","32.6961","56.3135","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R273","UBXH18-00030010R","BottomLayer","RES_0603_HD","45.4644","107.4928","180","RES THICK FILM CHIP 0603 0R 0 100mW"
"R272","UBXH18-00030020R","TopLayer","RES_0402_HD","42.4144","106.5698","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R271","UBXH18-00030020R","TopLayer","RES_0402_HD","42.0144","106.1698","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R269","UBXH18-00030010R","BottomLayer","RES_0603_HD","38.7334","106.7054","0","RES THICK FILM CHIP 0603 0R 0 100mW"
