Altium Designer Pick and Place Locations
C:\Users\habd\AppData\Local\TempReleases\Snapshot\1\Sources\Fabrication\Pick Place\UBXH60-0001194_Rev C.csv

========================================================================================================================
File Design Information:

Date:       09-04-25
Time:       07:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R225","UBXH18-0003001","TopLayer","RES_0603_1700Lx950Wx600H_600x1000Pad_800G_FLX","36.3920","21.2215","0","RES THICK FILM CHIP 0603 0R 0 100mW"
"R224","UBXH18-0000005","TopLayer","RES_0402_HD","87.6046","58.5419","90","RES THICK FILM CHIP 0402 100K 1% 63mW"
"R223","UBXH18-0000005","TopLayer","RES_0402_HD","79.9270","54.9688","180","RES THICK FILM CHIP 0402 100K 1% 63mW"
"R222","UBXH18-0000005","TopLayer","RES_0402_HD","82.2200","55.4900","90","RES THICK FILM CHIP 0402 100K 1% 63mW"
"R90","UBXH18-0003002","TopLayer","RES_0402_HD","25.5000","32.7282","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"R221","UBXH18-0003002","TopLayer","RES_0402_HD","46.0481","16.8962","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R161","UBXH18-0003002","TopLayer","RES_0402_HD","46.4440","16.4962","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"R160","UBXH18-0003002","TopLayer","RES_0402_HD","46.4440","15.6648","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"R218","UBXH18-0003002","TopLayer","RES_0402_HD","46.0300","15.2700","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R217","UBXH18-0003002","TopLayer","RES_0402_HD","38.7901","19.4404","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"R216","UBXH18-0003002","TopLayer","RES_0402_HD","61.7188","13.8300","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"R215","UBXH18-0003002","TopLayer","RES_0402_HD","61.3052","13.4300","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"R214","UBXH18-0003002","TopLayer","RES_0402_HD","61.3052","12.5972","0","RES THICK FILM CHIP 0402 0R 0 100mW"
"R213","UBXH18-0003002","TopLayer","RES_0402_HD","61.6697","12.1972","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R212","UBXH18-0003002","TopLayer","RES_0402_HD","36.9300","33.6550","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R211","UBXH18-0003002","TopLayer","RES_0402_HD","37.6379","34.5826","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R210","UBXH18-0003002","TopLayer","RES_0402_HD","36.9300","31.8052","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R209","UBXH18-0003002","TopLayer","RES_0402_HD","36.9300","32.7301","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R208","UBXH18-0008029","TopLayer","RES_0402_1100Lx600Wx400H_500x600Pad_400G_FLX","57.0917","28.0556","180","RES THICK FILM CHIP 0402 150R 5% 63mW"
"R207","UBXH18-0008029","TopLayer","RES_0402_1100Lx600Wx400H_500x600Pad_400G_FLX","57.0917","26.7662","0","RES THICK FILM CHIP 0402 150R 5% 63mW"
"R204","UBXH18-0003002","TopLayer","RES_0402_HD","32.6400","44.5700","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R203","UBXH18-0003002","TopLayer","RES_0402_HD","63.2700","30.7400","270","RES THICK FILM CHIP 0402 0R 0 100mW"
"C13","UBXH01-0000310","TopLayer","CAP_0603_1750Lx950Wx850H_600x1000Pad_900G_FLX","72.7710","14.6010","180","CAP CER X7R 0603 10U 20% 10V"
"C10","UBXH01-0000310","TopLayer","CAP_0603_1750Lx950Wx850H_600x1000Pad_900G_FLX","70.3563","13.7262","0","CAP CER X7R 0603 10U 20% 10V"
"R201","UBXH18-0003002","TopLayer","RES_0402_HD","74.3012","16.1370","90","RES THICK FILM CHIP 0402 0R 0 100mW"
"R199","UBXH18-0003001","TopLayer","RES_0603_1700Lx950Wx600H_600x1000Pad_800G_FLX","36.7712","38.1153","180","RES THICK FILM CHIP 0603 0R 0 100mW"
"R198","UBXH18-0000005","TopLayer","RES_0402_HD","63.1745","59.4500","270","RES THICK FILM CHIP 0402 100K 1% 63mW"
