Altium Designer Pick and Place Locations
C:\Users\lkis\OneDrive - u-blox\Desktop\EVK-NORA-W40-ES\\Fabrication\Pick Place\PCBDocNum_GlobalProjectRevision.csv

========================================================================================================================
File Design Information:

Date:       24-04-25
Time:       10:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW4","PTS810SJK250SMTRLFS","TopLayer","PTS810SJG250SMTRLFS","82.6770","66.2940","180","Switch"
"TP126","TP","BottomLayer","TP10R","20.0500","7.4930","90","Testpoint, Round 1.0mm Dia"
"TP125","TP","BottomLayer","TP10R","21.8280","7.4930","90","Testpoint, Round 1.0mm Dia"
"R123","UBXH18-00030020R","TopLayer","RES_0402_HD","80.7720","57.2770","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R27","UBXH18-00030020R","TopLayer","RES_0402_HD","77.7240","46.4312","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R132","UBXH18-0008041470R","TopLayer","RES_0402_1100Lx600Wx400H_500x600Pad_400G_FLX","71.6000","40.3860","0","RES THICK FILM CHIP 0402 470R 5% 100mW"
"R68","UBXH18-00030020R","TopLayer","RES_0402_HD","49.5328","44.8310","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"C56","UBXH01-00002481U","TopLayer","Cap_0402_HD","44.8818","16.1500","180","CAP CER X5R 0402 1U 10% 10V"
"C55","UBXH01-00002481U","TopLayer","Cap_0402_HD","41.4020","16.8910","270","CAP CER X5R 0402 1U 10% 10V"
"R26","UBXH18-00030010R","TopLayer","RES_0603_1700Lx950Wx600H_600x1000Pad_800G_FLX","48.8950","12.3190","0","RES THICK FILM CHIP 0603 0R 0 100mW"
"R61","UBXH18-00030020R","TopLayer","RES_0402_HD","65.9130","63.0000","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"TP1","TP","BottomLayer","TP10R","43.4890","22.2310","90","Testpoint, Round 1.0mm Dia"
"R148","0R0","TopLayer","RES_0805_2150Lx1400Wx650H_800x1300Pad_1000G_FLX","79.0448","9.7028","270","RES THICK FILM CHIP 0805 0R015 1% 330mW"
"D21","110-00005","TopLayer","SOD-123F_U","79.3750","5.0546","90","Diode, Schottky, 20V 1A SOD-123F, 340mV Vf @ 1A
MBR120VLSFT3G"
"RGB2","4684","TopLayer","4684","91.3980","64.9230","270","LED"
"R147","UBXH18-00030020R","TopLayer","RES_0402_HD","92.3480","67.5640","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R146","UBXH18-00030020R","TopLayer","RES_0402_HD","78.3590","61.4680","180","RES THICK FILM CHIP 0402 0R 0 100mW"
"R145","UBXH18-000006510K","TopLayer","RES_0402_HD","90.6780","67.5640","180","RES THICK FILM CHIP 0402 10K 1% 63mW"
"D20","1N4148WTQ-7","TopLayer","SODFL1608X65N","80.8990","61.5950","0","Diode"
"TP36","TP","BottomLayer","TP10R","40.9490","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP44","TP","BottomLayer","TP10R","58.7290","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP38","TP","BottomLayer","TP10R","56.1890","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP121","TP","BottomLayer","TP10R","1.4000","14.4100","0","Testpoint, Round 1.0mm Dia"
"TP119","TP","BottomLayer","TP10R","1.4000","16.9500","0","Testpoint, Round 1.0mm Dia"
"TP117","TP","BottomLayer","TP10R","1.4000","19.4900","0","Testpoint, Round 1.0mm Dia"
"TP28","TP","BottomLayer","TP10R","68.6100","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP26","TP","BottomLayer","TP10R","71.1500","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP27","TP","BottomLayer","TP10R","78.7700","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP29","TP","BottomLayer","TP10R","76.2300","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP31","TP","BottomLayer","TP10R","81.3100","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP30","TP","BottomLayer","TP10R","73.6900","22.2310","90","Testpoint, Round 1.0mm Dia"
"U6","240-00017","TopLayer","SOIC-8W","60.0000","45.4660","180","IC, Flash 128MBIT, 108MHz, 8SOIC"
"TP43","TP","BottomLayer","TP10R","28.8500","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP37","TP","BottomLayer","TP10R","31.3900","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP24","TP","BottomLayer","TP10R","83.8500","55.0000","90","Testpoint, Round 1.0mm Dia"
"TP25","TP","BottomLayer","TP10R","86.3900","55.0000","90","Testpoint, Round 1.0mm Dia"
"TP42","TP","BottomLayer","TP10R","83.8500","22.2310","90","Testpoint, Round 1.0mm Dia"
"TP59","TP","BottomLayer","TP10R","90.4000","42.3500","90","Testpoint, Round 1.0mm Dia"
"TP124","TP","BottomLayer","TP10R","9.6000","11.8700","90","Testpoint, Round 1.0mm Dia"
"TP123","TP","BottomLayer","TP10R","1.4000","11.8700","90","Testpoint, Round 1.0mm Dia"
"TP122","TP","BottomLayer","TP10R","9.6000","14.4100","90","Testpoint, Round 1.0mm Dia"
"TP120","TP","BottomLayer","TP10R","9.6000","16.9500","90","Testpoint, Round 1.0mm Dia"
"TP118","TP","BottomLayer","TP10R","9.6000","19.4900","90","Testpoint, Round 1.0mm Dia"
"TP116","TP","BottomLayer","TP10R","9.6000","22.0300","90","Testpoint, Round 1.0mm Dia"
"TP115","TP","BottomLayer","TP10R","1.4000","22.0300","90","Testpoint, Round 1.0mm Dia"
"TP114","TP","BottomLayer","TP10R","9.6000","27.1100","90","Testpoint, Round 1.0mm Dia"
"TP113","TP","BottomLayer","TP10R","9.6000","24.5700","90","Testpoint, Round 1.0mm Dia"
"TP112","TP","BottomLayer","TP10R","1.3750","24.5700","90","Testpoint, Round 1.0mm Dia"
